base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,rain.1h,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,wind.gust,weather_id,main,description,icon
stations,10000.0,1.728204331E9,-25200.0,5344157.0,Dublin,200.0,-121.9358,37.7021,23.23,22.55,21.24,25.34,1014.0,36.0,1014.0,989.0,1.54,80.0,NaN,0.0,1.0,4774.0,US,1.728223686E9,1.728265378E9,NaN,800,Clear,clear sky,01d
stations,10000.0,1.72820513E9,-14400.0,4219762.0,Rome,200.0,-85.1647,34.257,17.35,17.6,16.11,18.26,1018.0,94.0,1018.0,991.0,1.67,68.0,NaN,0.0,2.0,2038061.0,US,1.728214747E9,1.72825667E9,1.57,800,Clear,clear sky,01n
stations,10000.0,1.728204758E9,18000.0,1526273.0,Nur-Sultan,200.0,71.446,51.1801,17.97,16.34,17.97,17.97,1013.0,20.0,1013.0,972.0,5.0,260.0,NaN,40.0,1.0,8820.0,KZ,1.728177769E9,1.728218491E9,NaN,800,Clear,clear sky,01n
stations,10000.0,1.728205096E9,10800.0,456173.0,Rīga,200.0,24.0833,57.0,10.03,9.13,10.02,10.51,1017.0,78.0,1017.0,1016.0,2.06,160.0,NaN,0.0,2.0,2075320.0,LV,1.728189478E9,1.728229511E9,NaN,802,Clouds,scattered clouds,03d
stations,10000.0,1.728204604E9,7200.0,3042030.0,Vaduz,200.0,9.5215,47.1415,12.56,11.96,10.25,12.56,1010.0,80.0,1010.0,878.0,2.07,186.0,NaN,98.0,2.0,2042989.0,LI,1.728192463E9,1.728233515E9,2.81,800,Clear,clear sky,01d
stations,10000.0,1.728204642E9,10800.0,593116.0,Vilnius,200.0,25.2798,54.6892,7.49,4.86,7.49,7.62,1015.0,87.0,1015.0,996.0,4.12,50.0,1.0,40.0,1.0,1883.0,LT,1.728189049E9,1.728229366E9,NaN,804,Clouds,overcast clouds,04d
stations,10000.0,1.728204485E9,7200.0,2791993.0,Luxembourg Province,200.0,5.5,50.0,7.0,3.22,5.93,8.9,1009.0,87.0,1009.0,953.0,6.6,145.0,0.71,100.0,2.0,2017591.0,BE,1.728193557E9,1.728234351E9,12.09,500,Rain,light rain,10d
stations,10000.0,1.728204343E9,7200.0,2562305.0,Valletta,200.0,14.5147,35.8997,23.3,23.07,23.3,23.88,1015.0,53.0,1015.0,1014.0,5.66,310.0,NaN,20.0,1.0,6861.0,MT,1.728190861E9,1.72823272E9,NaN,500,Rain,light rain,10d
stations,10000.0,1.728204753E9,10800.0,618426.0,Chișinău,200.0,28.8575,47.0056,17.74,18.15,17.74,18.24,1009.0,99.0,1009.0,994.0,3.09,300.0,NaN,75.0,2.0,2002036.0,MD,1.728187812E9,1.728228886E9,NaN,801,Clouds,few clouds,02d
stations,10000.0,1.72820522E9,7200.0,2993457.0,Monaco,200.0,7.419,43.7314,16.85,16.34,15.87,18.5,1013.0,67.0,1013.0,1009.0,3.09,330.0,NaN,75.0,1.0,6515.0,MC,1.728192831E9,1.728234155E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204992E9,7200.0,3193044.0,Podgorica,200.0,19.2636,42.4411,16.89,16.78,15.72,16.95,1012.0,82.0,1012.0,975.0,2.06,130.0,NaN,75.0,1.0,7035.0,ME,1.728189938E9,1.728231364E9,NaN,803,Clouds,broken clouds,04d
stations,10000.0,1.728204611E9,7200.0,2759794.0,Amsterdam,200.0,4.8897,52.374,10.04,8.98,8.83,11.05,1008.0,72.0,1008.0,1009.0,6.71,121.0,NaN,0.0,2.0,2012552.0,NL,1.728193822E9,1.728234379E9,8.94,803,Clouds,broken clouds,04d
stations,10000.0,1.728204723E9,7200.0,785842.0,Skopje,200.0,21.4333,42.0,17.82,17.54,17.82,17.82,1011.0,72.0,1011.0,959.0,0.51,0.0,NaN,40.0,1.0,7023.0,MK,1.728189401E9,1.72823086E9,NaN,800,Clear,clear sky,01d
